names	rpkm
AT1G72310	9.70220484514685e-12
AT3G10540	4.42064025063553e-12
AT3G54320	2.03471243187322e-12
AT1G07847	4.57862549673577e-12
AT3G27470	1.48584763628289e-12
AT1G08190	8.7468457299685e-12
AT5G48630	3.07110932341312e-12
AT3G60975	2.77026080474769e-14
AT1G17370	1.34638290835754e-11
AT2G07733	3.54494615802475e-13
AT4G11700	6.58125479748589e-14
AT1G07987	2.98049703568334e-12
AT4G31290	2.06144627015824e-11
AT5G59260	4.73815948616907e-14
AT4G33740	7.91497486813077e-12
AT2G21910	1.01349116640993e-13
AT5G53900	2.2792801425217e-12
AT2G32010	1.1332098104421e-12
AT1G20200	2.10854943503487e-11
AT2G01240	6.5971405849281e-12
AT5G44520	1.9195084570347e-12
AT1G10700	1.59020917662039e-12
AT1G65250	1.75536421617502e-12
AT1G70505	6.96812934420869e-13
AT2G43060	6.02871387101368e-13
AT2G09205	1.37358764902073e-13
AT3G07900	1.20174694065111e-13
AT2G03060	1.05687961595636e-12
AT3G25855	3.67527506089331e-13
AT1G49730	2.19289482688387e-12
AT3G23870	1.10858388822623e-12
AT5G28405	2.64562601659635e-14
AT3G58170	8.24057035489028e-12
AT2G36990	5.36349681043839e-12
AT5G20635	1.03745622033821e-12
AT1G45332	6.52714166581432e-12
AT5G15150	2.86661770230413e-12
AT3G27730	1.78112361019972e-13
AT3G21295	2.77965202626122e-12
AT2G16245	4.08203227892587e-12
AT4G15200	2.24815337471465e-14
AT2G30520	1.50143731095343e-12
AT5G54980	3.40050046115755e-12
AT3G13190	5.84006254370162e-12
AT5G45480	3.60684060229127e-12
AT4G25800	1.53255193938404e-12
AT5G16350	1.30650290395246e-13
AT3G04090	1.2707995325595e-11
AT3G22740	1.05687961595636e-13
AT4G09080	4.54316461589544e-13
AT2G26280	2.91405628182333e-12
AT3G19000	7.83886434780336e-12
AT5G50390	1.86033831055733e-12
AT5G27830	5.72121410456634e-12
AT1G30940	7.58105517787051e-14
AT3G25220	2.8370344299425e-11
AT2G28400	1.64691888346842e-12
AT3G14660	2.56273596707755e-12
AT1G15910	1.2321385365764e-11
AT5G02420	5.75598633875354e-13
AT1G54040	4.48518416006769e-13
AT3G62450	8.24623085657583e-12
AT1G05540	1.23722423748751e-11
AT3G47700	2.53348645322278e-12
AT5G52470	7.08697201213013e-11
AT4G16900	1.16976496561765e-12
AT5G58230	2.04941983810541e-11
AT5G12450	1.51726836544549e-12
AT4G33945	6.18886831036581e-12
AT5G23970	2.73508841740897e-13
AT5G60360	1.15264544291035e-11
AT5G41330	4.70047132429925e-12
AT4G22050	5.45625963623692e-11
AT5G66020	9.24021589488464e-14
AT1G21510	2.27749075650611e-13
AT1G26800	2.67338256010867e-12
AT3G07805	6.28314350344136e-12
AT4G04330	8.43318928701099e-13
AT2G20600	2.94440839636239e-12
AT4G33150	1.77973065755143e-12
AT5G14240	1.07769526242494e-11
AT5G41160	4.95617958097685e-13
AT2G47030	3.54911668291654e-13
AT1G79620	4.26620163931144e-13
AT1G04183	1.3015530425018e-12
AT1G29700	1.59811639934143e-12
AT1G09270	1.01956846681977e-11
AT5G61070	1.45403348703142e-12
AT3G02765	3.4433437563582e-11
AT3G62600	2.46384293280792e-11
AT5G13710	8.80349781102275e-12
AT1G49430	9.6885671321135e-12
AT3G50910	4.40176184607504e-12
AT5G14830	1.03359070619382e-12
AT1G28327	4.78084560766609e-14
AT3G60640	3.87448028678702e-12
AT5G02520	3.13305932066882e-12
AT4G04410	8.53642041764296e-14
AT2G40920	3.69987097737323e-12
AT5G47580	2.90268372739823e-12
AT1G17960	6.04173064526765e-13
AT3G04310	2.36642943634895e-12
AT3G61970	6.64754179225357e-12
AT1G49475	3.28034418812188e-13
AT2G17030	5.2480521210861e-12
AT1G65240	2.53948222581001e-12
AT5G60030	1.57201056951139e-11
AT1G62970	9.51336630988432e-12
AT3G58000	1.97796621458985e-12
AT1G70220	1.65331522496112e-13
AT2G45685	7.34325356617634e-12
AT2G33170	1.75661840877293e-12
AT1G10640	2.92592945939036e-11
AT2G12190	5.57887906679189e-13
AT1G20130	1.46220620702207e-14
AT1G03130	2.01248569477467e-11
AT5G48480	2.60205853875144e-10
AT5G58330	1.54791457534089e-11
AT3G12400	7.16236291477897e-12
AT4G29285	3.32249996778836e-13
AT5G28280	4.83502852455297e-14
AT3G02880	1.1795994564602e-11
AT1G47565	6.31702192133632e-13
AT1G16520	9.7713041892882e-12
AT4G07070	2.52408681676199e-13
AT3G54030	4.0235135221051e-12
AT1G26300	3.9193125893299e-12
AT1G80170	1.98829501988797e-12
AT2G36724	1.75606362877227e-13
AT4G37580	1.39716235823334e-12
AT1G08970	1.73379264352892e-11
AT1G06960	7.98856816866116e-12
AT1G30870	2.25935912362288e-14
AT4G31100	4.6475762812108e-13
AT3G09725	2.64415622436491e-12
AT5G09835	5.79276580417688e-13
AT1G61440	4.65023487714737e-13
AT1G32172	4.79712531220959e-13
AT1G26450	5.48209553899129e-12
AT1G60220	4.15750860391497e-12
AT5G34885	6.89502307198575e-12
AT5G52150	6.34252791243641e-13
AT4G38970	1.30499575622887e-11
AT3G04181	4.63585831544496e-13
AT3G60150	1.55411631146345e-12
AT3G03760	5.67936005233317e-14
AT1G48405	2.24536928384813e-13
AT2G07265	2.76741764234282e-12
AT5G14140	3.19005053021345e-12
AT3G54870	5.15861433269473e-13
AT5G11200	3.72760058112205e-11
AT3G08475	3.0714320545316e-12
AT5G03960	3.61542511806055e-14
AT3G06510	6.79749602654614e-12
AT3G52600	1.886415690852e-13
AT5G18700	7.22912363099163e-12
AT5G44740	9.23335978145475e-13
AT5G04030	1.57663973626727e-13
AT5G40640	6.64780681229193e-12
AT1G76610	1.80771255903027e-13
AT2G41451	5.38195112540493e-13
AT4G18823	2.63906543456058e-12
AT3G04120	7.67877483197973e-11
AT1G66530	9.64863866038614e-12
AT2G20210	1.1445359474218e-12
AT5G42090	2.48411635508246e-11
AT2G03955	1.76891287483645e-12
AT5G45140	2.06455893053753e-12
AT1G04967	9.51777268612789e-14
AT3G25100	4.81418788436093e-12
AT5G09850	5.72274453994727e-12
AT1G05410	4.59457415509006e-12
AT1G06637	1.75182192918586e-13
AT1G75540	4.16812803840773e-13
AT5G46070	1.40095456703611e-11
AT1G52780	5.32976618572993e-12
AT1G54580	4.37973000515757e-11
AT4G29050	1.53330714309291e-14
AT2G20660	1.20083085486848e-11
AT3G52480	4.88870846059083e-13
AT5G54600	1.56379105929939e-11
AT5G19630	2.48827643598036e-12
AT2G14840	2.42775796677766e-12
AT4G21710	8.2459992262766e-12
AT4G17430	8.28032780511367e-12
AT2G02148	2.19947142412709e-12
AT2G40750	3.61079655105307e-13
AT4G27595	3.69848636439842e-12
AT3G46210	7.53820092722974e-12
AT4G00883	2.74610843384805e-12
AT5G26570	8.66987963082523e-12
AT2G39110	1.45828608314265e-13
AT1G22620	3.90451980476481e-12
AT3G58730	2.28853695981187e-11
AT5G42890	2.76448978821944e-11
AT1G22520	6.52821122351379e-12
AT1G75660	8.51010712171641e-12
